food_id,canonical_name,entity_type,state,country_region,cuisine,primary_source_id,primary_source_record_id,data_status
GF-ING-00115,Broad beans,ingredient,unspecified,India,,SRC-IFCT2017,D032,source_mapped
GF-ING-00116,"Capsicum, green",ingredient,unspecified,India,,SRC-IFCT2017,D033,source_mapped
GF-ING-00117,"Capsicum, red",ingredient,unspecified,India,,SRC-IFCT2017,D034,source_mapped
GF-ING-00118,"Capsicum, yellow",ingredient,unspecified,India,,SRC-IFCT2017,D035,source_mapped
GF-ING-00119,Cauliflower,ingredient,unspecified,India,,SRC-IFCT2017,D036,source_mapped
GF-ING-00120,Celery stalk,ingredient,unspecified,India,,SRC-IFCT2017,D037,source_mapped
GF-ING-00121,Cho-cho-marrow,ingredient,unspecified,India,,SRC-IFCT2017,D038,source_mapped
GF-ING-00122,Cluster beans,ingredient,unspecified,India,,SRC-IFCT2017,D039,source_mapped
GF-ING-00123,"Colocasia, stem, black",ingredient,unspecified,India,,SRC-IFCT2017,D040,source_mapped
GF-ING-00124,"Colocasia, stem, green",ingredient,unspecified,India,,SRC-IFCT2017,D041,source_mapped
GF-ING-00125,"Corn, baby",ingredient,unspecified,India,,SRC-IFCT2017,D042,source_mapped
GF-ING-00126,"Cucumber, green, elongate",ingredient,unspecified,India,,SRC-IFCT2017,D043,source_mapped
GF-ING-00127,"Cucumber, green, short",ingredient,unspecified,India,,SRC-IFCT2017,D044,source_mapped
GF-ING-00128,"Cucumber, orange, round",ingredient,unspecified,India,,SRC-IFCT2017,D045,source_mapped
GF-ING-00129,Drumstick,ingredient,unspecified,India,,SRC-IFCT2017,D046,source_mapped
GF-ING-00130,"Field beans, tender, broad",ingredient,unspecified,India,,SRC-IFCT2017,D047,source_mapped
GF-ING-00131,"Field beans, tender, lean",ingredient,unspecified,India,,SRC-IFCT2017,D048,source_mapped
GF-ING-00132,"French beans, country",ingredient,unspecified,India,,SRC-IFCT2017,D049,source_mapped
GF-ING-00133,"French beans, hybrid",ingredient,unspecified,India,,SRC-IFCT2017,D050,source_mapped
GF-ING-00134,"Jack fruit, raw",ingredient,raw,India,,SRC-IFCT2017,D051,source_mapped
GF-ING-00135,"Jack fruit, seeds, mature",ingredient,unspecified,India,,SRC-IFCT2017,D052,source_mapped
GF-ING-00136,Knol - Khol,ingredient,unspecified,India,,SRC-IFCT2017,D053,source_mapped
GF-ING-00137,"Kovai, big",ingredient,unspecified,India,,SRC-IFCT2017,D054,source_mapped
GF-ING-00138,"Kovai, small",ingredient,unspecified,India,,SRC-IFCT2017,D055,source_mapped
GF-ING-00139,Ladies finger,ingredient,unspecified,India,,SRC-IFCT2017,D056,source_mapped
GF-ING-00140,"Mango, green, raw",ingredient,raw,India,,SRC-IFCT2017,D057,source_mapped
