food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00141,ASC143,Bhatura,asc_manual,SRC-INDB,ASC143
GF-REC-00142,ASC144,Idli,asc_manual,SRC-INDB,ASC144
GF-REC-00143,ASC146,Masala dosa,asc_manual,SRC-INDB,ASC146
GF-REC-00144,ASC147,Semolina dosa (Suji/Rava dosa),asc_manual,SRC-INDB,ASC147
GF-REC-00145,ASC148,Onion tomato uttapam,asc_manual,SRC-INDB,ASC148
GF-REC-00146,ASC149,Paneer kaathi roll,asc_manual,SRC-INDB,ASC149
GF-REC-00147,ASC150,Makki ki roti,asc_manual,SRC-INDB,ASC150
GF-REC-00148,ASC151,Washed moong dal (Dhuli moong ki dal),asc_manual,SRC-INDB,ASC151
GF-REC-00149,ASC152,Washed urad dal (Dhuli urad ki dal),asc_manual,SRC-INDB,ASC152
GF-REC-00150,ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),asc_manual,SRC-INDB,ASC153
GF-REC-00151,ASC154,Dry washed urad,asc_manual,SRC-INDB,ASC154
GF-REC-00152,ASC155,Mixed dal,asc_manual,SRC-INDB,ASC155
GF-REC-00153,ASC156,Whole moong (Moong ki dal),asc_manual,SRC-INDB,ASC156
GF-REC-00154,ASC157,Whole masoor (Masoor ki dal),asc_manual,SRC-INDB,ASC157
GF-REC-00155,ASC158,Whole moth (Moth ki dal),asc_manual,SRC-INDB,ASC158
GF-REC-00156,ASC159,Whole urad (Urad ki dal),asc_manual,SRC-INDB,ASC159
GF-REC-00157,ASC160,Moti mahal dal (Urad rajmah mix dal),asc_manual,SRC-INDB,ASC160
GF-REC-00158,ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),asc_manual,SRC-INDB,ASC161
GF-REC-00159,ASC162,Chickpeas curry (Safed channa curry),asc_manual,SRC-INDB,ASC162
GF-REC-00160,ASC163,Lobia curry,asc_manual,SRC-INDB,ASC163
GF-REC-00161,ASC164,Soyabean curry,asc_manual,SRC-INDB,ASC164
GF-REC-00162,ASC165,Kidney bean curry (Rajmah curry),asc_manual,SRC-INDB,ASC165
GF-REC-00163,ASC167,Sambar,asc_manual,SRC-INDB,ASC167
GF-REC-00164,ASC168,Besan kadhi with pakodies,asc_manual,SRC-INDB,ASC168
GF-REC-00165,ASC169,Khatta channa,asc_manual,SRC-INDB,ASC169
GF-REC-00166,ASC170,Sprouted moong dal chat,asc_manual,SRC-INDB,ASC170
GF-REC-00167,ASC171,Potato cauliflower (Aloo gobhi),asc_manual,SRC-INDB,ASC171
GF-REC-00168,ASC172,Potato capsicum (Shimla mirch aloo),asc_manual,SRC-INDB,ASC172
GF-REC-00169,ASC173,Cabbage and peas (Pattagobhi aur matar),asc_manual,SRC-INDB,ASC173
GF-REC-00170,ASC174,Carrot and fenugreek leaves (Gajar methi),asc_manual,SRC-INDB,ASC174
GF-REC-00171,ASC175,Potato fenugreek (Aloo methi),asc_manual,SRC-INDB,ASC175
