food_id,canonical_name,source_id,source_record_id,usage_status,reason
GF-ING-00114,Brinjal - all varieties,SRC-IFCT2017,D031,usable_source_value,India-first primary source.
GF-ING-00115,Broad beans,SRC-IFCT2017,D032,usable_source_value,India-first primary source.
GF-ING-00116,"Capsicum, green",SRC-IFCT2017,D033,usable_source_value,India-first primary source.
GF-ING-00117,"Capsicum, red",SRC-IFCT2017,D034,usable_source_value,India-first primary source.
GF-ING-00118,"Capsicum, yellow",SRC-IFCT2017,D035,usable_source_value,India-first primary source.
GF-ING-00119,Cauliflower,SRC-IFCT2017,D036,usable_source_value,India-first primary source.
GF-ING-00120,Celery stalk,SRC-IFCT2017,D037,usable_source_value,India-first primary source.
GF-ING-00121,Cho-cho-marrow,SRC-IFCT2017,D038,usable_source_value,India-first primary source.
GF-ING-00122,Cluster beans,SRC-IFCT2017,D039,usable_source_value,India-first primary source.
GF-ING-00123,"Colocasia, stem, black",SRC-IFCT2017,D040,usable_source_value,India-first primary source.
GF-ING-00124,"Colocasia, stem, green",SRC-IFCT2017,D041,usable_source_value,India-first primary source.
GF-ING-00125,"Corn, baby",SRC-IFCT2017,D042,usable_source_value,India-first primary source.
GF-ING-00126,"Cucumber, green, elongate",SRC-IFCT2017,D043,usable_source_value,India-first primary source.
GF-ING-00127,"Cucumber, green, short",SRC-IFCT2017,D044,usable_source_value,India-first primary source.
GF-ING-00128,"Cucumber, orange, round",SRC-IFCT2017,D045,usable_source_value,India-first primary source.
GF-ING-00129,Drumstick,SRC-IFCT2017,D046,usable_source_value,India-first primary source.
GF-ING-00130,"Field beans, tender, broad",SRC-IFCT2017,D047,usable_source_value,India-first primary source.
GF-ING-00131,"Field beans, tender, lean",SRC-IFCT2017,D048,usable_source_value,India-first primary source.
GF-ING-00132,"French beans, country",SRC-IFCT2017,D049,usable_source_value,India-first primary source.
GF-ING-00133,"French beans, hybrid",SRC-IFCT2017,D050,usable_source_value,India-first primary source.
GF-ING-00134,"Jack fruit, raw",SRC-IFCT2017,D051,usable_source_value,India-first primary source.
GF-ING-00135,"Jack fruit, seeds, mature",SRC-IFCT2017,D052,usable_source_value,India-first primary source.
GF-ING-00136,Knol - Khol,SRC-IFCT2017,D053,usable_source_value,India-first primary source.
GF-ING-00137,"Kovai, big",SRC-IFCT2017,D054,usable_source_value,India-first primary source.
GF-ING-00138,"Kovai, small",SRC-IFCT2017,D055,usable_source_value,India-first primary source.
GF-ING-00139,Ladies finger,SRC-IFCT2017,D056,usable_source_value,India-first primary source.
GF-ING-00140,"Mango, green, raw",SRC-IFCT2017,D057,usable_source_value,India-first primary source.
GF-ING-00141,"Onion, stalk",SRC-IFCT2017,D058,usable_source_value,India-first primary source.
GF-ING-00142,"Papaya, raw",SRC-IFCT2017,D059,usable_source_value,India-first primary source.
GF-ING-00143,Parwar,SRC-IFCT2017,D060,usable_source_value,India-first primary source.
GF-ING-00144,"Peas, fresh",SRC-IFCT2017,D061,usable_source_value,India-first primary source.
GF-ING-00145,"Plantain, flower",SRC-IFCT2017,D062,usable_source_value,India-first primary source.
GF-ING-00146,"Plantain, green",SRC-IFCT2017,D063,usable_source_value,India-first primary source.
GF-ING-00147,"Plantain, stem",SRC-IFCT2017,D064,usable_source_value,India-first primary source.
GF-ING-00148,"Pumpkin, green, cylindrical",SRC-IFCT2017,D065,usable_source_value,India-first primary source.
GF-ING-00149,"Pumpkin, orange, round",SRC-IFCT2017,D066,usable_source_value,India-first primary source.
GF-ING-00150,"Red gram, tender, fresh",SRC-IFCT2017,D067,usable_source_value,India-first primary source.
GF-ING-00151,Ridge gourd,SRC-IFCT2017,D068,usable_source_value,India-first primary source.
GF-ING-00152,"Ridge gourd, smooth skin",SRC-IFCT2017,D069,usable_source_value,India-first primary source.
GF-ING-00153,"Snake gourd, long, pale green",SRC-IFCT2017,D070,usable_source_value,India-first primary source.
GF-ING-00154,"Snake gourd, long, dark green",SRC-IFCT2017,D071,usable_source_value,India-first primary source.
GF-ING-00155,"Snake gourd, short",SRC-IFCT2017,D072,usable_source_value,India-first primary source.
GF-ING-00156,"Tinda, tender",SRC-IFCT2017,D073,usable_source_value,India-first primary source.
GF-ING-00157,"Tomato, green",SRC-IFCT2017,D074,usable_source_value,India-first primary source.
GF-ING-00158,"Tomato, ripe, hybrid",SRC-IFCT2017,D075,usable_source_value,India-first primary source.
GF-ING-00159,"Tomato, ripe, local",SRC-IFCT2017,D076,usable_source_value,India-first primary source.
GF-ING-00160,"Zucchini, green",SRC-IFCT2017,D077,usable_source_value,India-first primary source.
GF-ING-00161,"Zucchini, yellow",SRC-IFCT2017,D078,usable_source_value,India-first primary source.
GF-ING-00162,"Apple, big",SRC-IFCT2017,E001,usable_source_value,India-first primary source.
GF-ING-00163,"Apple, green",SRC-IFCT2017,E002,usable_source_value,India-first primary source.
GF-ING-00164,"Apple, small",SRC-IFCT2017,E003,usable_source_value,India-first primary source.
GF-ING-00165,"Apple, small, Kashmir",SRC-IFCT2017,E004,usable_source_value,India-first primary source.
GF-ING-00166,"Apricot, dried",SRC-IFCT2017,E005,usable_source_value,India-first primary source.
GF-ING-00167,"Apricot, processed",SRC-IFCT2017,E006,usable_source_value,India-first primary source.
GF-ING-00168,Avocado fruit,SRC-IFCT2017,E007,usable_source_value,India-first primary source.
GF-ING-00169,Bael fruit,SRC-IFCT2017,E008,usable_source_value,India-first primary source.
GF-ING-00170,"Banana, ripe, montham",SRC-IFCT2017,E009,usable_source_value,India-first primary source.
GF-ING-00171,"Banana, ripe, poovam",SRC-IFCT2017,E010,usable_source_value,India-first primary source.
GF-ING-00172,"Banana, ripe, red",SRC-IFCT2017,E011,usable_source_value,India-first primary source.
GF-ING-00173,"Banana, ripe, robusta",SRC-IFCT2017,E012,usable_source_value,India-first primary source.
GF-ING-00174,Black berry,SRC-IFCT2017,E013,usable_source_value,India-first primary source.
GF-ING-00175,"Cherries, red",SRC-IFCT2017,E014,usable_source_value,India-first primary source.
GF-ING-00176,"Currants, black",SRC-IFCT2017,E015,usable_source_value,India-first primary source.
GF-ING-00177,Custard apple,SRC-IFCT2017,E016,usable_source_value,India-first primary source.
GF-ING-00178,"Dates, dry, pale brown",SRC-IFCT2017,E017,usable_source_value,India-first primary source.
GF-ING-00179,"Dates, dry, dark brown",SRC-IFCT2017,E018,usable_source_value,India-first primary source.
GF-ING-00180,"Dates, processed",SRC-IFCT2017,E019,usable_source_value,India-first primary source.
GF-ING-00181,Fig,SRC-IFCT2017,E020,usable_source_value,India-first primary source.
GF-ING-00182,Goosberry,SRC-IFCT2017,E021,usable_source_value,India-first primary source.
GF-ING-00183,"Grapes, seeded, round, black",SRC-IFCT2017,E022,usable_source_value,India-first primary source.
GF-ING-00184,"Grapes, seeded, round, green",SRC-IFCT2017,E023,usable_source_value,India-first primary source.
GF-ING-00185,"Grapes, seeded, round, red",SRC-IFCT2017,E024,usable_source_value,India-first primary source.
GF-ING-00186,"Grapes, seedless, oval, black",SRC-IFCT2017,E025,usable_source_value,India-first primary source.
GF-ING-00187,"Grapes, seedless, round, green",SRC-IFCT2017,E026,usable_source_value,India-first primary source.
GF-ING-00188,"Grapes, seedless, round, black",SRC-IFCT2017,E027,usable_source_value,India-first primary source.
GF-ING-00189,"Guava, white flesh",SRC-IFCT2017,E028,usable_source_value,India-first primary source.
GF-ING-00190,"Guava, pink flesh",SRC-IFCT2017,E029,usable_source_value,India-first primary source.
GF-ING-00191,"Jack fruit, ripe",SRC-IFCT2017,E030,usable_source_value,India-first primary source.
GF-ING-00192,"Jambu fruit, ripe",SRC-IFCT2017,E031,usable_source_value,India-first primary source.
GF-ING-00193,Karonda fruit,SRC-IFCT2017,E032,usable_source_value,India-first primary source.
GF-ING-00194,"Lemon, juice",SRC-IFCT2017,E033,review_before_calorie_use,IFCT energy-to-macro reconciliation flag; preserve source value but do not silently use it as the canonical calorie value.
GF-ING-00195,"Lime, sweet, pulp",SRC-IFCT2017,E034,usable_source_value,India-first primary source.
GF-ING-00196,Litchi,SRC-IFCT2017,E035,usable_source_value,India-first primary source.
GF-ING-00197,"Mango, ripe, banganapalli",SRC-IFCT2017,E036,usable_source_value,India-first primary source.
GF-ING-00198,"Mango, ripe, gulabkhas",SRC-IFCT2017,E037,usable_source_value,India-first primary source.
GF-ING-00199,"Mango, ripe, himsagar",SRC-IFCT2017,E038,usable_source_value,India-first primary source.
GF-ING-00200,"Mango, ripe, kesar",SRC-IFCT2017,E039,usable_source_value,India-first primary source.
GF-ING-00201,"Mango, ripe, neelam",SRC-IFCT2017,E040,usable_source_value,India-first primary source.
GF-ING-00202,"Mango, ripe, paheri",SRC-IFCT2017,E041,usable_source_value,India-first primary source.
GF-ING-00203,"Mango, ripe, totapari",SRC-IFCT2017,E042,usable_source_value,India-first primary source.
GF-ING-00204,Mangosteen,SRC-IFCT2017,E043,usable_source_value,India-first primary source.
GF-ING-00205,Manila tamarind,SRC-IFCT2017,E044,usable_source_value,India-first primary source.
GF-ING-00206,"Musk melon, orange flesh",SRC-IFCT2017,E045,usable_source_value,India-first primary source.
GF-ING-00207,"Musk melon, yellow flesh",SRC-IFCT2017,E046,usable_source_value,India-first primary source.
GF-ING-00208,"Orange, pulp",SRC-IFCT2017,E047,usable_source_value,India-first primary source.
GF-ING-00209,"Palm fruit, tender",SRC-IFCT2017,E048,usable_source_value,India-first primary source.
GF-ING-00210,"Papaya, ripe",SRC-IFCT2017,E049,usable_source_value,India-first primary source.
GF-ING-00211,Peach,SRC-IFCT2017,E050,usable_source_value,India-first primary source.
GF-ING-00212,Pear,SRC-IFCT2017,E051,usable_source_value,India-first primary source.
GF-ING-00213,Phalsa,SRC-IFCT2017,E052,usable_source_value,India-first primary source.
GF-ING-00214,Pineapple,SRC-IFCT2017,E053,usable_source_value,India-first primary source.
GF-ING-00215,Plum,SRC-IFCT2017,E054,usable_source_value,India-first primary source.
GF-ING-00216,"Pomegranate, maroon seeds",SRC-IFCT2017,E055,usable_source_value,India-first primary source.
GF-ING-00217,Pummelo,SRC-IFCT2017,E056,usable_source_value,India-first primary source.
GF-ING-00218,"Raisins, dried, black",SRC-IFCT2017,E057,usable_source_value,India-first primary source.
GF-ING-00219,"Raisins, dried, golden",SRC-IFCT2017,E058,usable_source_value,India-first primary source.
GF-ING-00220,Rambutan,SRC-IFCT2017,E059,usable_source_value,India-first primary source.
GF-ING-00221,Sapota,SRC-IFCT2017,E060,usable_source_value,India-first primary source.
GF-ING-00222,Soursop,SRC-IFCT2017,E061,usable_source_value,India-first primary source.
GF-ING-00223,Star fruit,SRC-IFCT2017,E062,usable_source_value,India-first primary source.
GF-ING-00224,Strawberry,SRC-IFCT2017,E063,usable_source_value,India-first primary source.
GF-ING-00225,"Tamarind, pulp",SRC-IFCT2017,E064,usable_source_value,India-first primary source.
GF-ING-00226,"Water melon, dark green (sugar baby)",SRC-IFCT2017,E065,usable_source_value,India-first primary source.
GF-ING-00227,"Water melon, pale green",SRC-IFCT2017,E066,usable_source_value,India-first primary source.
GF-ING-00228,Wood apple,SRC-IFCT2017,E067,usable_source_value,India-first primary source.
GF-ING-00229,Zizyphus,SRC-IFCT2017,E068,usable_source_value,India-first primary source.
GF-ING-00230,Beetroot,SRC-IFCT2017,F001,usable_source_value,India-first primary source.
GF-ING-00231,"Carrot, orange",SRC-IFCT2017,F002,usable_source_value,India-first primary source.
GF-ING-00232,"Carrot, red",SRC-IFCT2017,F003,usable_source_value,India-first primary source.
GF-ING-00233,Colocasia,SRC-IFCT2017,F004,usable_source_value,India-first primary source.
GF-ING-00234,Lotus root,SRC-IFCT2017,F005,usable_source_value,India-first primary source.
GF-ING-00235,"Potato, brown skin, big",SRC-IFCT2017,F006,usable_source_value,India-first primary source.
GF-ING-00236,"Potato, brown skin, small",SRC-IFCT2017,F007,usable_source_value,India-first primary source.
GF-ING-00237,"Potato, red skin",SRC-IFCT2017,F008,usable_source_value,India-first primary source.
GF-ING-00238,"Radish, elongate, red skin",SRC-IFCT2017,F009,usable_source_value,India-first primary source.
GF-ING-00239,"Radish, elongate, white skin",SRC-IFCT2017,F010,usable_source_value,India-first primary source.
GF-ING-00240,"Radish, round, red skin",SRC-IFCT2017,F011,usable_source_value,India-first primary source.
GF-ING-00241,"Radish, round, white skin",SRC-IFCT2017,F012,usable_source_value,India-first primary source.
GF-ING-00242,"Sweet potato, brown skin",SRC-IFCT2017,F013,usable_source_value,India-first primary source.
GF-ING-00243,"Sweet potato, pink skin",SRC-IFCT2017,F014,usable_source_value,India-first primary source.
GF-ING-00244,Tapioca,SRC-IFCT2017,F015,usable_source_value,India-first primary source.
GF-ING-00245,Water Chestnut,SRC-IFCT2017,F016,usable_source_value,India-first primary source.
GF-ING-00246,"Yam, elephant",SRC-IFCT2017,F017,usable_source_value,India-first primary source.
GF-ING-00247,"Yam, ordinary",SRC-IFCT2017,F018,usable_source_value,India-first primary source.
GF-ING-00248,"Yam, wild",SRC-IFCT2017,F019,usable_source_value,India-first primary source.
GF-ING-00249,"Chillies, green-1",SRC-IFCT2017,G001,usable_source_value,India-first primary source.
GF-ING-00250,"Chillies, green-2",SRC-IFCT2017,G002,usable_source_value,India-first primary source.
GF-ING-00251,"Chillies, green-3",SRC-IFCT2017,G003,usable_source_value,India-first primary source.
GF-ING-00252,"Chillies, green-4",SRC-IFCT2017,G004,usable_source_value,India-first primary source.
GF-ING-00253,"Chillies, green-5",SRC-IFCT2017,G005,usable_source_value,India-first primary source.
GF-ING-00254,"Chillies, green-6",SRC-IFCT2017,G006,usable_source_value,India-first primary source.
GF-ING-00255,"Chillies, green-7",SRC-IFCT2017,G007,usable_source_value,India-first primary source.
GF-ING-00256,"Chillies, green - all varieties",SRC-IFCT2017,G008,usable_source_value,India-first primary source.
GF-ING-00257,Coriander leaves,SRC-IFCT2017,G009,usable_source_value,India-first primary source.
GF-ING-00258,Curry leaves,SRC-IFCT2017,G010,usable_source_value,India-first primary source.
GF-ING-00259,"Garlic, big cloves",SRC-IFCT2017,G011,usable_source_value,India-first primary source.
GF-ING-00260,"Garlic, small cloves",SRC-IFCT2017,G012,usable_source_value,India-first primary source.
GF-ING-00261,"Garlic, single clove, Kashmir",SRC-IFCT2017,G013,usable_source_value,India-first primary source.
GF-ING-00262,"Ginger, fresh",SRC-IFCT2017,G014,usable_source_value,India-first primary source.
GF-ING-00263,Mango ginger,SRC-IFCT2017,G015,usable_source_value,India-first primary source.
GF-ING-00264,Mint leaves,SRC-IFCT2017,G016,usable_source_value,India-first primary source.
GF-ING-00265,"Onion, big",SRC-IFCT2017,G017,usable_source_value,India-first primary source.
GF-ING-00266,"Onion, small",SRC-IFCT2017,G018,usable_source_value,India-first primary source.
GF-ING-00267,Asafoetida,SRC-IFCT2017,G019,usable_source_value,India-first primary source.
GF-ING-00268,"Cardamom, green",SRC-IFCT2017,G020,usable_source_value,India-first primary source.
GF-ING-00269,"Cardamom, black",SRC-IFCT2017,G021,usable_source_value,India-first primary source.
GF-ING-00270,"Chillies, red",SRC-IFCT2017,G022,usable_source_value,India-first primary source.
GF-ING-00271,Cloves,SRC-IFCT2017,G023,usable_source_value,India-first primary source.
GF-ING-00272,Coriander seeds,SRC-IFCT2017,G024,usable_source_value,India-first primary source.
GF-ING-00273,Cumin seeds,SRC-IFCT2017,G025,usable_source_value,India-first primary source.
GF-ING-00274,Fenugreek seeds,SRC-IFCT2017,G026,usable_source_value,India-first primary source.
GF-ING-00275,Mace,SRC-IFCT2017,G027,usable_source_value,India-first primary source.
GF-ING-00276,Nutmeg,SRC-IFCT2017,G028,usable_source_value,India-first primary source.
GF-ING-00277,Omum,SRC-IFCT2017,G029,usable_source_value,India-first primary source.
GF-ING-00278,Pippali,SRC-IFCT2017,G030,usable_source_value,India-first primary source.
GF-ING-00279,"Pepper, black",SRC-IFCT2017,G031,usable_source_value,India-first primary source.
GF-ING-00280,Poppy seeds,SRC-IFCT2017,G032,usable_source_value,India-first primary source.
GF-ING-00281,Turmeric powder,SRC-IFCT2017,G033,usable_source_value,India-first primary source.
GF-ING-00282,Almond,SRC-IFCT2017,H001,usable_source_value,India-first primary source.
GF-ING-00283,"Arecanut, dried, brown",SRC-IFCT2017,H002,usable_source_value,India-first primary source.
GF-ING-00284,"Arecanut, dried, red color",SRC-IFCT2017,H003,usable_source_value,India-first primary source.
